Dataset_Number,File_Name,LTER_SITE,Sub_Site,Sub_Site_2,Treatment,Treatment 2,Date,Nitrification,Mineralization,Total Soil C,Total soil C (%),Total soil N (%),Total SoilN,Soil Organic Matter,Change_NH4,Change_NO3,Initial_NH4,Final_NH4,Initial_NO3,Final_NO3,Net Nitrification,Net mineralization,T0 collection date,T30 extraction date,N min Lab,N min Field,Nit Field,CO2 Treatment,Nitrogen Treatment,labile c
1,Arctic_1428,Arctic,Sag,6,NA,,15-Aug-1987,-0.5,-0.55,,,,,,-0.05,-0.5,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,15-Aug-1987,41.09,38.95,,,,,,-2.14,41.09,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,15-Aug-1987,7.86,13.72,,,,,,5.86,7.86,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,15-Aug-1987,-1.24,-0.53,,,,,,0.71,-1.24,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,15-Aug-1987,16.58,22.18,,,,,,5.6,16.58,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,15-Aug-1987,-0.23,-5.07,,,,,,-4.84,-0.23,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,15-Aug-1987,-1.2,-0.66,,,,,,0.54,-1.2,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,15-Aug-1987,-0.7,2.84,,,,,,3.55,-0.7,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,15-Aug-1987,1.17,8.95,,,,,,7.78,1.17,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,15-Aug-1987,-1.06,-0.45,,,,,,0.61,-1.06,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1988,0.41,4.66,,,,,,4.25,0.41,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1988,3.05,9.31,,,,,,6.26,3.05,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1988,0.02,-2.29,,,,,,-2.32,0.02,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1988,0,0.39,,,,,,0.39,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1988,0.03,0.14,,,,,,0.11,0.03,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1988,0.75,1.35,,,,,,0.6,0.75,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1988,0,-1.28,,,,,,-1.28,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1988,0,1.46,,,,,,1.46,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1988,0,6.07,,,,,,6.07,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1988,0.25,1.13,,,,,,0.88,0.25,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,07-Aug-1989,1.55,4.23,,,,,,2.68,1.55,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,07-Aug-1989,0,16.25,,,,,,16.25,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,07-Aug-1989,-0.95,5.93,,,,,,6.88,-0.95,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,07-Aug-1989,-0.27,-6.04,,,,,,-5.77,-0.27,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,07-Aug-1989,-0.03,9.28,,,,,,9.31,-0.03,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,07-Aug-1989,34.61,34.8,,,,,,0.19,34.61,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,03-Aug-1990,0,0.57,,,,,,0.57,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,03-Aug-1990,0,10.7,,,,,,10.7,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,03-Aug-1990,0,-4.37,,,,,,-4.37,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,03-Aug-1990,0,12.36,,,,,,12.36,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,03-Aug-1990,0,15.03,,,,,,15.03,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,03-Aug-1990,1.03,7.04,,,,,,6.01,1.03,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,03-Aug-1990,0,3.66,,,,,,3.66,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,03-Aug-1990,1.11,-6.77,,,,,,-7.88,1.11,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,03-Aug-1990,0,16.12,,,,,,16.12,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,03-Aug-1990,0,137.48,,,,,,137.48,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,03-Aug-1990,0,1.4,,,,,,1.4,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,03-Aug-1990,0.23,11.45,,,,,,11.22,0.23,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,03-Aug-1990,0,64.39,,,,,,64.39,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,03-Aug-1990,0.16,35.57,,,,,,35.41,0.16,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,03-Aug-1990,0.76,42.99,,,,,,42.23,0.76,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,13-Aug-1991,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,26-Aug-1992,0.28,1.64,,,,,,1.36,0.28,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,26-Aug-1992,0.52,2.45,,,,,,1.93,0.52,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,26-Aug-1992,-0.14,22.69,,,,,,22.83,-0.14,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,26-Aug-1992,3.64,3.48,,,,,,-0.17,3.64,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,26-Aug-1992,0.31,15.1,,,,,,14.79,0.31,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,26-Aug-1992,0.02,5.15,,,,,,5.13,0.02,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,26-Aug-1992,0.35,17.43,,,,,,17.08,0.35,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,26-Aug-1992,NA,#N/A,,,,,,NA,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,26-Aug-1992,-0.11,32.08,,,,,,32.19,-0.11,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,26-Aug-1992,0.12,28.8,,,,,,28.68,0.12,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,26-Aug-1992,0.03,64.42,,,,,,64.38,0.03,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,26-Aug-1992,0.94,11.55,,,,,,10.61,0.94,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,26-Aug-1992,0.15,36.78,,,,,,36.63,0.15,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,26-Aug-1992,4.01,9.52,,,,,,5.51,4.01,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,26-Aug-1992,0.21,10.88,,,,,,10.67,0.21,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,26-Aug-1992,1.28,20.32,,,,,,19.04,1.28,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1993,-0.02,22.27,,,,,,22.29,-0.02,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1993,-0.07,13.29,,,,,,13.36,-0.07,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1993,0.25,9.31,,,,,,9.06,0.25,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1993,2.47,15.22,,,,,,12.75,2.47,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1993,0.1,15.35,,,,,,15.25,0.1,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1993,0.28,5,,,,,,4.72,0.28,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1993,0.75,22.3,,,,,,21.55,0.75,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,09-Aug-1993,0.6,1.32,,,,,,0.72,0.6,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,09-Aug-1993,0,26.6,,,,,,26.6,0,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,09-Aug-1993,0.09,32.52,,,,,,32.43,0.09,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,09-Aug-1993,0.08,49.38,,,,,,49.3,0.08,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,09-Aug-1993,2.31,35.96,,,,,,33.65,2.31,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,09-Aug-1993,-0.27,40.95,,,,,,41.22,-0.27,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,09-Aug-1993,-0.05,60.41,,,,,,60.46,-0.05,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,09-Aug-1993,0.13,43.46,,,,,,43.33,0.13,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,09-Aug-1993,2.32,33.87,,,,,,31.55,2.32,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,08-Aug-1994,4.13,16.87,,,,,,12.74,4.13,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,08-Aug-1994,4.58,59.45,,,,,,54.87,4.58,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,08-Aug-1994,7.3,130.05,,,,,,122.75,7.3,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,08-Aug-1994,0.87,26,,,,,,25.13,0.87,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,08-Aug-1994,1.16,24.1,,,,,,22.95,1.16,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,08-Aug-1994,2.66,71.99,,,,,,69.32,2.66,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,08-Aug-1994,4.07,28.99,,,,,,24.92,4.07,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,08-Aug-1994,NA,#N/A,,,,,,131.29,NA,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,08-Aug-1994,0.27,9.54,,,,,,9.27,0.27,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,08-Aug-1994,0.15,4.96,,,,,,4.8,0.15,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,08-Aug-1994,0.84,7.99,,,,,,7.14,0.84,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,08-Aug-1994,0.47,26.14,,,,,,25.67,0.47,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,08-Aug-1994,1.09,10.57,,,,,,9.49,1.09,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,08-Aug-1994,0.3,10.85,,,,,,10.55,0.3,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,08-Aug-1994,0.22,13.17,,,,,,12.95,0.22,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,08-Aug-1994,1.04,3.07,,,,,,2.03,1.04,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,14-Aug-1995,2.99,31.17,,,,,,28.18,2.99,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,14-Aug-1995,8.46,49.41,,,,,,40.95,8.46,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,14-Aug-1995,5.41,#N/A,,,,,,NA,5.41,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,14-Aug-1995,15.73,32.48,,,,,,16.75,15.73,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,14-Aug-1995,13.84,28.12,,,,,,14.27,13.84,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,14-Aug-1995,2.2,24.06,,,,,,21.86,2.2,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,14-Aug-1995,0.3,5.14,,,,,,4.84,0.3,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,14-Aug-1995,0.74,28.69,,,,,,27.95,0.74,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,0.24,18.07,,,,,,17.83,0.24,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,1.74,14.45,,,,,,12.71,1.74,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,0.05,0.08,,,,,,0.04,0.05,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,3.77,27.61,,,,,,23.84,3.77,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,-0.01,22.45,,,,,,22.47,-0.01,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,0.28,30.06,,,,,,29.77,0.28,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,0.13,5.5,,,,,,5.37,0.13,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,-0.2,5.84,,,,,,6.04,-0.2,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,14-Aug-1995,3.95,4.99,,,,,,1.04,3.95,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,1,NA,,14-Aug-1995,0.78,-6.42,,,,,,-7.2,0.78,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,14-Aug-1995,1.16,9.77,,,,,,8.61,1.16,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,2,NA,,14-Aug-1995,7.95,15.6,,,,,,7.66,7.95,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,14-Aug-1995,1.09,15.47,,,,,,14.37,1.09,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,3,NA,,14-Aug-1995,0.22,20.83,,,,,,20.61,0.22,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,14-Aug-1995,-0.29,20.68,,,,,,20.97,-0.29,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Toolik,4,NA,,14-Aug-1995,0.81,1.78,,,,,,0.98,0.81,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,-1.4,-7.21,,,,,,-5.81,-1.4,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,0.64,0.03,,,,,,-0.61,0.64,,,,,,0,,,,,,,,
1,Arctic_1428,Arctic,Sag,6,NA,,14-Aug-1995,0.33,-14.63,,,,,,-14.96,0.33,,,,,,0,,,,,,,,
