dataset,LTER_Site,C,N,CN_Ratio,Nit,Min,NM_Ratio,Lat,Long,MAT,MAP
2,Arctic,2.5870,0.13500,19.16296296,0.34975,2.23068,0.15679,68.63,-149.60,-7.88,312.32
2,Arctic,2.5870,0.13500,19.16296296,1.00525,3.83596,0.26206,68.63,-149.60,-7.88,312.32
2,Arctic,42.1710,0.94200,44.76751592,0.06014,2.16871,0.02773,68.63,-149.60,-7.88,312.32
2,Arctic,42.1710,0.94200,44.76751592,0.98485,1.96637,0.50085,68.63,-149.60,-7.88,312.32
2,Arctic,42.1710,0.94200,44.76751592,0.25701,3.14721,0.08166,68.63,-149.60,-7.88,312.32
2,Arctic,42.1710,0.94200,44.76751592,0.07473,3.76420,0.01985,68.63,-149.60,-7.88,312.32
2,Arctic,42.1710,0.94200,44.76751592,0.04331,1.73279,0.02500,68.63,-149.60,-7.88,312.32
2,Arctic,38.9720,1.23700,31.50525465,0.26297,0.70643,0.37226,68.63,-149.60,-7.88,312.32
2,Arctic,38.9720,1.23700,31.50525465,0.41525,2.07224,0.20039,68.63,-149.60,-7.88,312.32
2,Arctic,38.9720,1.23700,31.50525465,0.09431,1.61884,0.05826,68.63,-149.60,-7.88,312.32
2,Arctic,38.9720,1.23700,31.50525465,0.02711,0.65808,0.04119,68.63,-149.60,-7.88,312.32
2,Arctic,2.4220,0.14200,17.05633803,0.23210,0.59146,0.39241,68.63,-149.60,-7.88,312.32
2,Arctic,2.4220,0.14200,17.05633803,0.65142,2.46441,0.26433,68.63,-149.60,-7.88,312.32
2,Arctic,2.4220,0.14200,17.05633803,0.00000,1.27451,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,2.4220,0.14200,17.05633803,0.00000,0.92582,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,2.4220,0.14200,17.05633803,0.82607,2.73695,0.30182,68.63,-149.60,-7.88,312.32
2,Arctic,42.7590,0.78400,54.53954082,1.19265,1.91486,0.62284,68.63,-149.60,-7.88,312.32
2,Arctic,42.7590,0.78400,54.53954082,0.02124,2.34577,0.00905,68.63,-149.60,-7.88,312.32
2,Arctic,42.7590,0.78400,54.53954082,0.07194,1.35018,0.05328,68.63,-149.60,-7.88,312.32
2,Arctic,42.7590,0.78400,54.53954082,0.19323,1.67320,0.11549,68.63,-149.60,-7.88,312.32
2,Arctic,42.7590,0.78400,54.53954082,0.54043,1.99735,0.27057,68.63,-149.60,-7.88,312.32
2,Arctic,30.1300,0.89900,33.51501669,0.01847,1.45353,0.01270,68.63,-149.60,-7.88,312.32
2,Arctic,30.1300,0.89900,33.51501669,0.45473,1.16659,0.38979,68.63,-149.60,-7.88,312.32
2,Arctic,30.1300,0.89900,33.51501669,2.23956,1.76459,1.26917,68.63,-149.60,-7.88,312.32
2,Arctic,30.1300,0.89900,33.51501669,0.03998,2.94772,0.01356,68.63,-149.60,-7.88,312.32
2,Arctic,30.1300,0.89900,33.51501669,0.08935,12.78908,0.00699,68.63,-149.60,-7.88,312.32
2,Arctic,0.0920,1.84500,0.04986449864,0.15396,10.42564,0.01477,68.63,-149.60,-7.88,312.32
2,Arctic,0.0920,1.84500,0.04986449864,0.00895,11.62195,0.00077,68.63,-149.60,-7.88,312.32
2,Arctic,0.0920,1.84500,0.04986449864,0.30893,3.19241,0.09677,68.63,-149.60,-7.88,312.32
2,Arctic,0.0920,1.84500,0.04986449864,0.71751,5.18664,0.13834,68.63,-149.60,-7.88,312.32
2,Arctic,0.0920,1.84500,0.04986449864,0.05929,2.18307,0.02716,68.63,-149.60,-7.88,312.32
2,Arctic,40.1340,1.22900,32.65581774,0.00000,5.02755,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,40.1340,1.22900,32.65581774,0.00000,3.81221,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,40.1340,1.22900,32.65581774,0.00905,6.51717,0.00139,68.63,-149.60,-7.88,312.32
2,Arctic,40.1340,1.22900,32.65581774,0.00000,9.50511,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,41.8210,1.35900,30.77336277,0.00000,9.46991,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,41.8210,1.35900,30.77336277,0.00000,6.80864,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,41.8210,1.35900,30.77336277,0.00000,6.43948,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,41.8210,1.35900,30.77336277,0.00000,10.77945,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,41.8210,1.35900,30.77336277,0.00000,5.60136,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,41.8210,1.35900,30.77336277,0.01402,0.03095,0.45305,68.63,-149.60,-7.88,312.32
2,Arctic,4.2260,0.21584,19.57918553,0.01533,0.82328,0.01862,68.63,-149.60,-7.88,312.32
2,Arctic,4.2260,0.21584,19.57918553,0.02062,0.14639,0.14084,68.63,-149.60,-7.88,312.32
2,Arctic,4.2260,0.21584,19.57918553,0.01533,0.82328,0.01862,68.63,-149.60,-7.88,312.32
2,Arctic,4.2260,0.21584,19.57918553,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,4.2260,0.21584,19.57918553,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,39.4100,1.27400,30.93406593,0.01205,0.12749,0.09453,68.63,-149.60,-7.88,312.32
2,Arctic,39.4100,1.27400,30.93406593,0.00453,0.09527,0.04752,68.63,-149.60,-7.88,312.32
2,Arctic,39.4100,1.27400,30.93406593,0.03871,0.03097,1.25024,68.63,-149.60,-7.88,312.32
2,Arctic,39.4100,1.27400,30.93406593,0.00463,0.12133,0.03819,68.63,-149.60,-7.88,312.32
2,Arctic,35.4450,1.09300,32.42909424,0.05109,0.30031,0.17012,68.63,-149.60,-7.88,312.32
2,Arctic,35.4450,1.09300,32.42909424,0.00000,0.00151,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,35.4450,1.09300,32.42909424,0.00638,0.02611,0.24423,68.63,-149.60,-7.88,312.32
2,Arctic,35.4450,1.09300,32.42909424,0.00035,0.02054,0.01719,68.63,-149.60,-7.88,312.32
2,Arctic,35.4450,1.09300,32.42909424,0.00573,0.05233,0.10946,68.63,-149.60,-7.88,312.32
2,Arctic,35.4450,1.09300,32.42909424,0.00031,0.01853,0.01684,68.63,-149.60,-7.88,312.32
2,Arctic,2.9290,0.17600,16.64204545,0.01070,0.90868,0.01178,68.63,-149.60,-7.88,312.32
2,Arctic,2.9290,0.17600,16.64204545,0.03562,1.06649,0.03340,68.63,-149.60,-7.88,312.32
2,Arctic,2.9290,0.17600,16.64204545,0.03843,0.74335,0.05169,68.63,-149.60,-7.88,312.32
2,Arctic,2.9290,0.17600,16.64204545,0.06692,0.73790,0.09069,68.63,-149.60,-7.88,312.32
2,Arctic,2.9290,0.17600,16.64204545,0.00023,0.02808,0.00822,68.63,-149.60,-7.88,312.32
2,Arctic,42.4170,0.72800,58.26510989,0.00061,0.01799,0.03365,68.63,-149.60,-7.88,312.32
2,Arctic,42.4170,0.72800,58.26510989,0.00000,0.01719,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,42.4170,0.72800,58.26510989,0.00037,0.04040,0.00915,68.63,-149.60,-7.88,312.32
2,Arctic,42.4170,0.72800,58.26510989,0.06964,0.32605,0.21358,68.63,-149.60,-7.88,312.32
2,Arctic,42.2440,1.95900,21.5640633,0.00867,0.47840,0.01813,68.63,-149.60,-7.88,312.32
2,Arctic,42.2440,1.95900,21.5640633,0.13969,1.60355,0.08711,68.63,-149.60,-7.88,312.32
2,Arctic,42.2440,1.95900,21.5640633,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,42.2440,1.95900,21.5640633,0.00041,0.03190,0.01285,68.63,-149.60,-7.88,312.32
2,Arctic,42.2440,1.95900,21.5640633,0.00000,0.03283,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,42.2440,1.95900,21.5640633,0.00628,0.02464,0.25485,68.63,-149.60,-7.88,312.32
2,Arctic,27.4940,1.83500,14.98310627,0.00000,0.94183,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,27.4940,1.83500,14.98310627,0.02031,3.40127,0.00597,68.63,-149.60,-7.88,312.32
2,Arctic,27.4940,1.83500,14.98310627,0.10490,1.68127,0.06240,68.63,-149.60,-7.88,312.32
2,Arctic,27.4940,1.83500,14.98310627,0.10978,1.65641,0.06627,68.63,-149.60,-7.88,312.32
2,Arctic,27.4940,1.83500,14.98310627,0.00034,0.07503,0.00455,68.63,-149.60,-7.88,312.32
2,Arctic,38.5801,1.76721,21.83105023,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,38.5801,1.76721,21.83105023,0.00387,0.06908,0.05596,68.63,-149.60,-7.88,312.32
2,Arctic,38.5801,1.76721,21.83105023,0.00614,0.07502,0.08190,68.63,-149.60,-7.88,312.32
2,Arctic,38.5801,1.76721,21.83105023,0.00552,0.96820,0.00571,68.63,-149.60,-7.88,312.32
2,Arctic,38.5801,1.76721,21.83105023,0.00000,0.27634,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,42.9520,1.97400,21.75886525,0.05442,0.95753,0.05684,68.63,-149.60,-7.88,312.32
2,Arctic,42.9520,1.97400,21.75886525,0.04817,1.26001,0.03823,68.63,-149.60,-7.88,312.32
2,Arctic,42.9520,1.97400,21.75886525,0.00000,0.05022,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,42.9520,1.97400,21.75886525,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,28.5150,1.81200,15.73675497,0.00144,0.09950,0.01451,68.63,-149.60,-7.88,312.32
2,Arctic,28.5150,1.81200,15.73675497,0.00000,0.07341,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,28.5150,1.81200,15.73675497,0.00000,0.98869,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,28.5150,1.81200,15.73675497,0.00718,1.26869,0.00566,68.63,-149.60,-7.88,312.32
2,Arctic,28.5150,1.81200,15.73675497,0.00000,0.96310,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,42.1470,1.69900,24.80694526,0.00000,12.87035,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,42.1470,1.69900,24.80694526,0.00214,0.15338,0.01396,68.63,-149.60,-7.88,312.32
2,Arctic,42.1470,1.69900,24.80694526,0.00000,0.20071,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,42.1470,1.69900,24.80694526,0.00000,0.24495,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,28.2660,1.71215,16.50904605,0.00000,0.10671,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,28.2660,1.71215,16.50904605,0.00000,0.62763,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,28.2660,1.71215,16.50904605,0.00000,0.99900,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,28.2660,1.71215,16.50904605,0.00000,0.28014,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,28.2660,1.71215,16.50904605,0.05909,1.17053,0.05048,68.63,-149.60,-7.88,312.32
2,Arctic,28.2660,1.71215,16.50904605,0.00902,0.12481,0.07226,68.63,-149.60,-7.88,312.32
2,Arctic,39.1960,1.98700,19.72622043,0.00000,0.11631,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,39.1960,1.98700,19.72622043,0.00000,0.25144,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,39.1960,1.98700,19.72622043,0.01917,0.26619,0.07203,68.63,-149.60,-7.88,312.32
2,Arctic,39.1960,1.98700,19.72622043,0.00000,1.16786,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,40.8070,1.95200,20.90522541,0.00000,1.14758,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,40.8070,1.95200,20.90522541,0.00217,0.83369,0.00261,68.63,-149.60,-7.88,312.32
2,Arctic,40.8070,1.95200,20.90522541,0.00000,0.41290,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,40.8070,1.95200,20.90522541,0.00450,0.34379,0.01309,68.63,-149.60,-7.88,312.32
2,Arctic,40.8070,1.95200,20.90522541,0.00000,0.10907,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,40.8070,1.95200,20.90522541,0.00285,0.20285,0.01404,68.63,-149.60,-7.88,312.32
2,Arctic,38.6530,2.10200,18.38867745,0.00458,0.13088,0.03501,68.63,-149.60,-7.88,312.32
2,Arctic,38.6530,2.10200,18.38867745,0.02845,0.37912,0.07505,68.63,-149.60,-7.88,312.32
2,Arctic,38.6530,2.10200,18.38867745,0.00583,0.57164,0.01020,68.63,-149.60,-7.88,312.32
2,Arctic,38.6530,2.10200,18.38867745,0.05477,0.48795,0.11225,68.63,-149.60,-7.88,312.32
2,Arctic,38.6530,2.10200,18.38867745,0.03842,0.69715,0.05511,68.63,-149.60,-7.88,312.32
2,Arctic,20.7995,1.27726,16.28439717,0.01414,0.21372,0.06615,68.63,-149.60,-7.88,312.32
2,Arctic,20.7995,1.27726,16.28439717,0.00000,0.12129,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,20.7995,1.27726,16.28439717,0.00228,0.15308,0.01492,68.63,-149.60,-7.88,312.32
2,Arctic,20.7995,1.27726,16.28439717,0.00000,0.26270,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,20.7995,1.27726,16.28439717,0.04573,0.96090,0.04759,68.63,-149.60,-7.88,312.32
2,Arctic,35.9080,1.50300,23.8908849,0.00350,0.74452,0.00471,68.63,-149.60,-7.88,312.32
2,Arctic,35.9080,1.50300,23.8908849,0.05171,1.23183,0.04198,68.63,-149.60,-7.88,312.32
2,Arctic,35.9080,1.50300,23.8908849,0.00199,1.35142,0.00148,68.63,-149.60,-7.88,312.32
2,Arctic,35.9080,1.50300,23.8908849,0.00082,0.07779,0.01055,68.63,-149.60,-7.88,312.32
2,Arctic,39.1740,1.60200,24.45318352,0.00000,0.11335,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,39.1740,1.60200,24.45318352,0.00000,0.08431,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,39.1740,1.60200,24.45318352,0.02624,0.86234,0.03043,68.63,-149.60,-7.88,312.32
2,Arctic,39.1740,1.60200,24.45318352,0.00154,0.93456,0.00165,68.63,-149.60,-7.88,312.32
2,Arctic,13.8330,0.89800,15.40423163,0.03936,0.74614,0.05275,68.63,-149.60,-7.88,312.32
2,Arctic,13.8330,0.89800,15.40423163,0.06634,1.02135,0.06496,68.63,-149.60,-7.88,312.32
2,Arctic,13.8330,0.89800,15.40423163,0.03552,0.86588,0.04102,68.63,-149.60,-7.88,312.32
2,Arctic,36.1127,1.61230,22.39829193,0.00421,0.57847,0.00728,68.63,-149.60,-7.88,312.32
2,Arctic,36.1127,1.61230,22.39829193,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,36.1127,1.61230,22.39829193,0.00174,0.53437,0.00326,68.63,-149.60,-7.88,312.32
2,Arctic,36.1127,1.61230,22.39829193,0.02772,2.67687,0.01035,68.63,-149.60,-7.88,312.32
2,Arctic,36.1127,1.61230,22.39829193,0.03475,2.09876,0.01656,68.63,-149.60,-7.88,312.32
2,Arctic,35.7980,1.83800,19.47660501,0.03378,1.10387,0.03060,68.63,-149.60,-7.88,312.32
2,Arctic,35.7980,1.83800,19.47660501,0.02254,1.76399,0.01278,68.63,-149.60,-7.88,312.32
2,Arctic,35.7980,1.83800,19.47660501,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,35.7980,1.83800,19.47660501,0.00000,0.15849,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,35.7980,1.83800,19.47660501,0.00000,0.34280,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,35.7980,1.83800,19.47660501,0.00000,0.33347,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,3.9424,0.29689,13.27894003,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,3.9424,0.29689,13.27894003,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,3.9424,0.29689,13.27894003,0.01699,3.93301,0.00432,68.63,-149.60,-7.88,312.32
2,Arctic,3.9424,0.29689,13.27894003,0.00000,4.06518,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,3.9424,0.29689,13.27894003,0.00000,0.33113,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,35.8786,1.74606,20.54834437,0.00000,4.14204,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,35.8786,1.74606,20.54834437,0.00414,0.31944,0.01297,68.63,-149.60,-7.88,312.32
2,Arctic,35.8786,1.74606,20.54834437,0.01328,0.10531,0.12607,68.63,-149.60,-7.88,312.32
2,Arctic,35.8786,1.74606,20.54834437,0.00303,0.13669,0.02217,68.63,-149.60,-7.88,312.32
2,Arctic,35.8786,1.74606,20.54834437,0.01291,0.12643,0.10211,68.63,-149.60,-7.88,312.32
2,Arctic,35.5389,2.47264,14.37282878,0.00000,2.57199,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,35.5389,2.47264,14.37282878,0.00168,1.96205,0.00085,68.63,-149.60,-7.88,312.32
2,Arctic,35.5389,2.47264,14.37282878,0.00446,3.16167,0.00141,68.63,-149.60,-7.88,312.32
2,Arctic,35.5389,2.47264,14.37282878,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,35.5389,2.47264,14.37282878,0.00225,0.10014,0.02245,68.63,-149.60,-7.88,312.32
2,Arctic,31.7070,2.18000,14.54449541,0.00102,0.06075,0.01686,68.63,-149.60,-7.88,312.32
2,Arctic,31.7070,2.18000,14.54449541,0.00181,0.25861,0.00701,68.63,-149.60,-7.88,312.32
2,Arctic,31.7070,2.18000,14.54449541,0.00140,0.39394,0.00355,68.63,-149.60,-7.88,312.32
2,Arctic,10.1250,0.83600,12.11124402,0.05142,0.84261,0.06102,68.63,-149.60,-7.88,312.32
2,Arctic,10.1250,0.83600,12.11124402,0.00409,2.33621,0.00175,68.63,-149.60,-7.88,312.32
2,Arctic,10.1250,0.83600,12.11124402,0.02853,0.60028,0.04753,68.63,-149.60,-7.88,312.32
2,Arctic,10.1250,0.83600,12.11124402,0.04223,2.38849,0.01768,68.63,-149.60,-7.88,312.32
2,Arctic,10.1250,0.83600,12.11124402,0.02038,0.03905,0.52174,68.63,-149.60,-7.88,312.32
2,Arctic,2.5580,36.60400,0.06988307289,0.00000,0.27952,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,2.5580,36.60400,0.06988307289,0.04554,0.14050,0.32416,68.63,-149.60,-7.88,312.32
2,Arctic,2.5580,36.60400,0.06988307289,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,2.5580,36.60400,0.06988307289,0.00000,1.44450,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,2.5580,36.60400,0.06988307289,0.05777,2.03989,0.02832,68.63,-149.60,-7.88,312.32
2,Arctic,28.3361,2.12500,13.33458445,0.04826,1.78462,0.02704,68.63,-149.60,-7.88,312.32
2,Arctic,28.3361,2.12500,13.33458445,0.00287,1.21771,0.00236,68.63,-149.60,-7.88,312.32
2,Arctic,28.3361,2.12500,13.33458445,0.00000,0.05918,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,28.3361,2.12500,13.33458445,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,28.3361,2.12500,13.33458445,0.05916,0.13552,0.43651,68.63,-149.60,-7.88,312.32
2,Arctic,38.9118,2.44555,15.91123265,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,38.9118,2.44555,15.91123265,0.05616,3.06803,0.01831,68.63,-149.60,-7.88,312.32
2,Arctic,38.9118,2.44555,15.91123265,0.00000,2.68990,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,38.9118,2.44555,15.91123265,0.00000,0.18316,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,38.9118,2.44555,15.91123265,0.03125,0.81810,0.03820,68.63,-149.60,-7.88,312.32
2,Arctic,38.2670,2.12000,18.0504717,0.00038,0.11944,0.00315,68.63,-149.60,-7.88,312.32
2,Arctic,38.2670,2.12000,18.0504717,0.00271,0.01682,0.16117,68.63,-149.60,-7.88,312.32
2,Arctic,38.2670,2.12000,18.0504717,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,38.2670,2.12000,18.0504717,0.00000,0.10911,0.00000,68.63,-149.60,-7.88,312.32
2,Arctic,38.2670,2.12000,18.0504717,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,12.2828,0.93231,13.17460317,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,12.2828,0.93231,13.17460317,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,12.2828,0.93231,13.17460317,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,12.2828,0.93231,13.17460317,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,12.2828,0.93231,13.17460317,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,36.1663,1.96387,18.41581756,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,36.1663,1.96387,18.41581756,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,36.1663,1.96387,18.41581756,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,36.1663,1.96387,18.41581756,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,36.1663,1.96387,18.41581756,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,39.4870,1.68600,23.42052195,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,39.4870,1.68600,23.42052195,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,39.4870,1.68600,23.42052195,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,39.4870,1.68600,23.42052195,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,39.4870,1.68600,23.42052195,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,18.8115,1.26686,14.84892086,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,18.8115,1.26686,14.84892086,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,18.8115,1.26686,14.84892086,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,18.8115,1.26686,14.84892086,NA,NA,NA,68.63,-149.60,-7.88,312.32
2,Arctic,18.8115,1.26686,14.84892086,NA,NA,NA,68.63,-149.60,-7.88,312.32
